Player,Pos,G,FG,3P,FT,TRB,AST,STL,BLK,TOV,PTS
Reggie Bullock\bullore01,SF,68,201,141,40,241,83,41,14,40,583
Trey Burke\burketr01,PG,42,84,26,20,33,57,12,0,26,214
Alec Burks\burksal01,SG,81,285,157,217,397,239,85,26,91,944
Jared Butler\butleja02,SG,42,61,28,11,45,63,17,8,33,161
Jimmy Butler\butleji01,SF,57,398,27,396,336,312,94,27,121,1219
Devontae Cacok\cacokde01,PF,15,21,0,4,42,6,8,7,3,46
Kentavious Caldwell-Pope\caldwke01,SG,77,361,159,137,261,145,83,26,97,1018
Facundo Campazzo\campafa01,PG,65,107,58,60,117,220,63,23,67,332
Vlatko ?an?ar\cancavl01,PF,15,23,7,9,31,17,2,3,9,62
Devin Cannady\cannade01,PG,5,15,15,5,6,10,5,3,5,50
Clint Capela\capelca01,C,74,370,0,80,877,92,55,93,44,820
Vernon Carey Jr.\careyve01,C,7,7,0,6,12,0,2,1,3,20
Jevon Carter\carteje01,PG,66,98,66,15,110,96,24,14,34,277
Wendell Carter Jr.\cartewe01,C,62,359,70,143,648,171,36,43,117,931
Alex Caruso\carusal01,SG,41,102,42,58,148,165,71,15,57,304
Willie Cauley-Stein\caulewi01,C,20,16,1,1,40,10,6,3,7,34
Ahmad Caver\caverah01,PG,1,1,0,0,0,0,0,0,0,2
Justin Champagnie\champju01,SF,36,31,10,9,72,11,8,4,8,81
Zylan Cheatham\cheatzy01,SF,1,0,0,0,0,0,0,0,0,0
Chris Chiozza\chiozch01,PG,34,24,17,2,36,65,13,0,32,67
Marquese Chriss\chrisma01,PF,34,62,8,22,103,17,13,12,17,154
Josh Christopher\chrisjo01,SG,74,224,56,83,186,150,65,13,114,587
Gary Clark\clarkga01,PF,38,33,28,7,90,18,13,7,10,101
Brandon Clarke\clarkbr01,PF,64,288,5,85,342,86,39,68,34,666
Jordan Clarkson\clarkjo01,SG,79,466,190,144,273,194,66,16,129,1266
Nic Claxton\claxtni01,C,47,178,0,54,264,43,24,51,38,410
Amir Coffey\coffeam01,SG,69,211,96,101,197,124,38,15,45,619
John Collins\collijo01,PF,54,339,64,134,422,98,33,56,60,876
Zach Collins\colliza01,PF,28,76,14,52,153,61,13,23,45,218
Darren Collison\collida01,PG,3,2,0,0,4,2,1,0,1,4
Mike Conley\conlemi01,PG,72,344,169,129,217,385,96,21,123,986
Pat Connaughton\connapa01,SG,65,227,146,45,273,82,59,15,35,645
Tyler Cook\cookty01,PF,20,23,0,21,53,3,4,4,7,67
Sharife Cooper\coopesh01,PG,13,3,1,0,5,5,0,0,5,7
Petr Cornelie\cornepe01,PF,13,5,1,3,14,3,1,1,4,14
DeMarcus Cousins\couside01,C,48,149,37,95,270,71,35,21,85,430
Robert Covington\covinro01,PF-SF,71,209,128,58,391,92,103,91,75,604
Torrey Craig\craigto01,SF,78,200,77,39,310,91,46,36,67,516
Jae Crowder\crowdja01,PF,67,217,127,71,354,124,95,30,55,632
Jarrett Culver\culveja01,SG,37,51,12,16,48,33,20,5,20,130
Jarron Cumberland\cumbeja01,SG,3,1,0,0,3,1,0,0,0,2
Cade Cunningham\cunnica01,PG,64,429,114,142,354,356,78,43,234,1114
